CountryID,Country,Currency,Measure,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
768,Togo,,Population,"6,010,668","6,188,344","6,368,812","6,551,865","6,732,590","6,916,474","7,100,736","7,285,442","7,472,450","7,663,195","7,858,289","8,057,140","8,258,778","8,463,068","8,669,720","8,878,379","9,089,738","9,304,337"
776,Tonga,Pa'anga,AMA exchange rate,2.03,1.97,1.94,2.03,1.91,1.73,1.72,1.77,1.85,2.11,2.22,2.21,2.24,2.29,2.30,2.26,2.33,2.36
776,Tonga,Pa'anga,IMF based exchange rate,2.03,1.97,1.94,2.03,1.91,1.73,1.72,1.77,1.85,2.11,2.22,2.21,2.24,2.29,2.30,2.26,2.33,2.36
776,Tonga,,Population,"106,253","106,726","107,020","107,203","107,400","107,570","107,460","107,078","106,609","106,095","105,524","105,356","105,567","105,669","105,704","105,490","105,042","104,597"
780,Trinidad and Tobago,Trinidad and Tobago Dollar,AMA exchange rate,6.31,6.33,6.29,6.32,6.38,6.41,6.43,6.44,6.41,6.38,6.67,6.78,6.77,6.75,6.75,6.76,6.75,6.75
780,Trinidad and Tobago,Trinidad and Tobago Dollar,IMF based exchange rate,6.31,6.33,6.29,6.32,6.38,6.41,6.43,6.44,6.41,6.38,6.67,6.78,6.77,6.75,6.75,6.76,6.75,6.75
780,Trinidad and Tobago,,Population,"1,358,698","1,365,377","1,372,084","1,379,056","1,386,654","1,394,983","1,403,809","1,412,653","1,421,131","1,429,188","1,437,026","1,445,261","1,470,518","1,484,894","1,481,024","1,487,717","1,495,921","1,502,932"
788,Tunisia,Tunisian Dinar,AMA exchange rate,1.33,1.28,1.23,1.35,1.43,1.41,1.56,1.62,1.70,1.96,2.15,2.42,2.65,2.93,2.81,2.79,3.10,3.11
788,Tunisia,Tunisian Dinar,IMF based exchange rate,1.33,1.28,1.23,1.35,1.43,1.41,1.56,1.62,1.70,1.96,2.15,2.42,2.65,2.93,2.81,2.79,3.10,3.11
788,Tunisia,,Population,"10,346,410","10,441,702","10,542,635","10,650,681","10,765,980","10,886,035","11,009,647","11,141,361","11,274,288","11,402,264","11,528,674","11,650,498","11,765,514","11,875,081","11,974,057","12,048,622","12,119,334","12,200,431"
792,Türkiye,New Turkish Lira,AMA exchange rate,1.43,1.30,1.30,1.55,1.50,1.67,1.80,1.90,2.19,2.72,3.02,3.65,4.83,5.67,7.01,8.85,16.55,23.74
792,Türkiye,New Turkish Lira,IMF based exchange rate,1.43,1.30,1.30,1.55,1.50,1.67,1.80,1.90,2.19,2.72,3.02,3.65,4.83,5.67,7.01,8.85,16.55,23.74
792,Türkiye,,Population,"70,045,349","70,750,586","71,562,338","72,464,848","73,346,769","74,215,203","75,197,198","76,403,031","78,036,154","80,014,226","81,652,088","83,083,662","84,415,969","85,357,672","86,091,692","86,686,253","87,058,473","87,270,501"
795,Turkmenistan,Turkmenistan Manat,AMA exchange rate,1.37,1.46,2.29,2.85,2.85,2.85,2.85,2.85,2.85,3.48,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50
795,Turkmenistan,Turkmenistan Manat,IMF based exchange rate,1.04,1.04,2.29,2.85,2.85,2.85,2.85,2.85,2.85,3.48,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50
795,Turkmenistan,,Population,"5,147,105","5,244,046","5,345,029","5,451,592","5,564,356","5,683,417","5,808,546","5,939,341","6,075,283","6,215,770","6,360,041","6,507,061","6,655,524","6,803,944","6,949,912","7,092,043","7,230,193","7,364,438"
796,Turks and Caicos Islands,US Dollar,AMA exchange rate,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
796,Turks and Caicos Islands,US Dollar,IMF based exchange rate,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
796,Turks and Caicos Islands,,Population,"25,123","26,270","27,427","28,588","29,739","30,846","32,127","33,653","35,050","36,605","38,315","39,913","41,559","43,166","44,386","45,243","45,847","46,198"
798,Tuvalu,Australian Dollar,AMA exchange rate,1.33,1.20,1.19,1.28,1.09,0.97,0.97,1.04,1.11,1.33,1.35,1.30,1.34,1.44,1.45,1.33,1.44,1.51
798,Tuvalu,Australian Dollar,IMF based exchange rate,1.33,1.20,1.19,1.28,1.09,0.97,0.97,1.04,1.11,1.33,1.35,1.30,1.34,1.44,1.45,1.33,1.44,1.51
798,Tuvalu,,Population,"10,056","10,182","10,321","10,461","10,614","10,780","10,934","11,001","10,984","10,963","10,930","10,869","10,751","10,581","10,399","10,194","9,992","9,816"
835,U.R. of Tanzania: Mainland,Tanzanian Shilling,AMA exchange rate,"1,251.90","1,245.04","1,196.31","1,320.31","1,395.63","1,557.43","1,571.70","1,597.56","1,653.23","1,991.39","2,177.09","2,228.86","2,263.78","2,288.21","2,294.15","2,297.76","2,315.29","2,406.92"
835,U.R. of Tanzania: Mainland,Tanzanian Shilling,IMF based exchange rate,"1,251.90","1,245.04","1,196.31","1,320.31","1,395.63","1,557.43","1,571.70","1,597.56","1,653.23","1,991.39","2,177.09","2,228.86","2,263.78","2,288.21","2,294.15","2,297.76","2,315.29","2,406.92"
835,U.R. of Tanzania: Mainland,,Population,"39,150,902","40,295,736","41,396,992","42,428,199","43,518,782","44,751,582","46,070,691","47,475,352","48,956,822","50,579,779","52,335,977","54,118,599","55,857,296","57,549,302","59,301,200","61,112,804","62,948,832","64,810,025"
800,Uganda,Uganda Shilling,AMA exchange rate,"1,831.45","1,723.49","1,720.44","2,030.49","2,177.56","2,522.80","2,504.56","2,586.89","2,599.79","3,240.65","3,420.10","3,611.22","3,727.07","3,704.05","3,718.25","3,587.05","3,689.82","3,726.14"
800,Uganda,Uganda Shilling,IMF based exchange rate,"1,831.45","1,723.49","1,720.44","2,030.49","2,177.56","2,522.80","2,504.56","2,586.89","2,599.79","3,240.65","3,420.10","3,611.22","3,727.07","3,704.05","3,718.25","3,587.05","3,689.82","3,726.14"
800,Uganda,,Population,"28,794,003","29,653,430","30,539,553","31,451,151","32,390,802","33,354,543","34,337,438","35,337,042","36,395,539","37,531,446","38,799,152","40,177,388","41,565,831","42,999,637","44,457,152","45,910,930","47,312,719","48,656,601"
804,Ukraine,Hryvnia,AMA exchange rate,5.05,5.05,5.27,7.79,7.94,7.97,7.99,7.99,11.89,21.84,25.55,26.60,27.20,25.85,26.96,27.29,32.34,36.57
804,Ukraine,Hryvnia,IMF based exchange rate,5.05,5.05,5.27,7.79,7.94,7.97,7.99,7.99,11.89,21.84,25.55,26.60,27.20,25.85,26.96,27.29,32.34,36.57
804,Ukraine,,Population,"47,278,694","47,062,798","46,819,175","46,623,731","46,456,003","46,307,853","46,210,056","46,126,770","45,972,380","45,784,896","45,616,832","45,436,041","45,208,907","44,957,458","44,680,014","44,298,640","41,048,766","37,732,836"
784,United Arab Emirates,UAE Dirham,AMA exchange rate,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
784,United Arab Emirates,UAE Dirham,IMF based exchange rate,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
784,United Arab Emirates,,Population,"5,009,100","5,624,635","6,302,664","6,707,058","6,938,363","7,199,423","7,497,118","7,831,847","8,236,874","8,674,633","9,030,873","9,234,327","9,346,870","9,377,847","9,448,524","9,789,048","10,242,086","10,642,081"
